ID,LIQUIDITY_PROVIDER,TVL
12502,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,125737424.73557824
12502,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,91773644.9011794
116392,0x500af6e7c53dfd8e083e7e8c07f3898411face2a,62932872.10515867
116392,0x500af6e7c53dfd8e083e7e8c07f3898411face2a,62931838.06171955
117068,0x520c602cb82538e9eb71d0310449f3e2eafa9d18,61293405.28241166
117068,0x520c602cb82538e9eb71d0310449f3e2eafa9d18,61292977.676178195
116310,0xf638431866c8fa03e9bf1b0bc3fbee80b456e2e4,60273674.36387803
116310,0xf638431866c8fa03e9bf1b0bc3fbee80b456e2e4,60270915.21254326
98170,0x77eb9084ce8168901bcb11f14f02a7aab36fcd0c,59027300.07561581
98170,0x77eb9084ce8168901bcb11f14f02a7aab36fcd0c,59024943.6792527
117020,0x520c602cb82538e9eb71d0310449f3e2eafa9d18,57860315.938603766
117020,0x520c602cb82538e9eb71d0310449f3e2eafa9d18,57839381.503147066
98172,0x3cb3ef0368a6548f71357f4d346330195bca1160,57747242.41064209
98172,0x3cb3ef0368a6548f71357f4d346330195bca1160,57745511.97674887
96796,0x9cbe95562882952f5d1907d4cafd310a2b4a8d40,56786086.472209275
96796,0x9cbe95562882952f5d1907d4cafd310a2b4a8d40,56784755.09329634
117000,0x75bcdbc99d9ce8ea5c8b0298cf2db409c8a9790a,56257941.62999716
117000,0x75bcdbc99d9ce8ea5c8b0298cf2db409c8a9790a,56252349.946549095
115685,0x368dec1eb6e533119f8740c15613144bf5a668ca,55674391.057684
115685,0x368dec1eb6e533119f8740c15613144bf5a668ca,55672833.025570236
31160,0x50b42514389f25e1f471c8f03f6f5954df0204b0,55373690.70588063
31160,0x50b42514389f25e1f471c8f03f6f5954df0204b0,55373689.04238235
98176,0x77eb9084ce8168901bcb11f14f02a7aab36fcd0c,55149383.4465252
98176,0x77eb9084ce8168901bcb11f14f02a7aab36fcd0c,55147676.336989745
98185,0x3cb3ef0368a6548f71357f4d346330195bca1160,54393350.62525837
98185,0x3cb3ef0368a6548f71357f4d346330195bca1160,54390865.436109185
24748,0x50b42514389f25e1f471c8f03f6f5954df0204b0,53954492.38706546
39567,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,53944451.786548235
39567,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,53944451.78618877
24748,0x50b42514389f25e1f471c8f03f6f5954df0204b0,53943083.4535518
116106,0x0364aabefc13885f05d8ca86cbe3e564cd07f6f1,53691391.83340441
116106,0x0364aabefc13885f05d8ca86cbe3e564cd07f6f1,53690457.93964869
98179,0x77eb9084ce8168901bcb11f14f02a7aab36fcd0c,53658891.00202206
98179,0x77eb9084ce8168901bcb11f14f02a7aab36fcd0c,53657207.160410814
117090,0x6670cafd21a1917b444a0010147f17f52f73f7d6,53518808.70833129
117090,0x6670cafd21a1917b444a0010147f17f52f73f7d6,53516360.27790743
116368,0xb59171a8d1cff2647330096a28d73223e7b27393,52970701.15570075
116368,0xb59171a8d1cff2647330096a28d73223e7b27393,52936765.81015225
20691,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,52617454.371541165
102844,0x4deacb315fc16b746aa3c5f42363a0bff694c42f,52486810.5006101
